AAL,0.004782749256600487
AAPL,0.09251564923070245
AEHR,0.07009055433539081
AVGO,0.23201160397534157
BRK-B,0.0252609304757134
COKE,0.11516557481633756
EADSY,0.019394983431747743
FUN,0.009995716405527228
JNJ,0.01881195114858405
LEA,0.01707133853258348
M,0.004664900958726101
META,0.05384188813614936
MRVL,0.03972965792382309
MTCH,0.016453276446158124
RYCEY,0.0017261755425375242
SCHW,0.024892020920725847
TNL,0.013546092826491236
TSLA,0.20664969935861696
WMT,0.020570811182143763
XOM,0.012824425096099112
